"id_estado","descricao","uf"
21,Rondônia,RO
1,Acre,AC
3,Amazonas,AM
22,Roraima,RR
14,Pará,PA
4,Amapá,AP
27,Tocantins,TO
10,Maranhão,MA
17,Piauí,PI
6,Ceará,CE
20,Rio Grande do Norte,RN
15,Paraíba,PB
16,Pernambuco,PE
2,Alagoas,AL
25,Sergipe,SE
5,Bahia,BA
11,Minas Gerais,MG
8,Espírito Santo,ES
19,Rio de Janeiro,RJ
26,São Paulo,SP
18,Paraná,PR
24,Santa Catarina,SC
23,Rio Grande do Sul,RS
12,Mato Grosso do Sul,MS
13,Mato Grosso,MT
9,Goiás,GO
7,Distrito Federal,DF
